,,,,,,,Days Of,Connection Flight,,
Origin,Destination,Flight Number,Departure Time,Arrival Time,Flight Time,Routing,,,Effective From,EffectiveTo
,,,,,,,Operations,No,,
Abu Dhabi,Leh,G8 76,21:40,08:55,09:45,Via DEL,"Tu,F,Su",G8 6001,02/03/2023,02/16/2023
Abu Dhabi,Leh,G8 76,21:40,07:40,08:30,Via DEL,"M,Th,Sa",G8 6001,02/03/2023,03/23/2023
Abu Dhabi,Lucknow,G8 6,23:30,19:00,18:00,Via BOM,Daily,G8 397,02/03/2023,02/04/2023
Abu Dhabi,Lucknow,G8 6,23:30,18:45,17:45,Via BOM,Daily,G8 397,02/03/2023,02/05/2023
Abu Dhabi,Lucknow,G8 6,23:30,13:55,12:55,Via BOM,Daily,G8 306,02/03/2023,02/05/2023
Abu Dhabi,Male,G8 6,23:30,13:10,12:40,Via BOM,Daily,G8 23,02/03/2023,02/05/2023
Abu Dhabi,Male,G8 76,21:40,13:35,14:55,Via DEL,"Tu,F,Sa",G8 33,02/03/2023,02/27/2023
Abu Dhabi,Mumbai,G8 6,23:30,04:10,03:10,Non Stop,Daily,-,02/03/2023,02/05/2023
Abu Dhabi,Mumbai,G8 76,21:40,08:10,09:00,Via DEL,Daily,G8 530,02/03/2023,02/06/2023
Abu Dhabi,Mumbai,G8 76,21:40,10:20,11:10,Via DEL,F,G8 334,02/03/2023,02/09/2023
Abu Dhabi,Mumbai,G8 76,21:40,09:30,10:20,Via DEL,"M,Tu,W,Th,Sa,Su",G8 334,02/03/2023,02/09/2023
Abu Dhabi,Mumbai,G8 54,22:20,07:15,07:25,Via CNN,Daily,G8 368,02/03/2023,02/14/2023
Abu Dhabi,Mumbai,G8 76,21:40,16:45,17:35,Via DEL,Daily,G8 336,02/03/2023,02/14/2023
Abu Dhabi,Nagpur,G8 6,23:30,17:10,16:10,Via BOM,Tu,G8 954,02/03/2023,02/05/2023
Abu Dhabi,Patna,G8 6,23:30,13:45,12:45,Via BOM,Daily,G8 351,02/03/2023,02/05/2023
Abu Dhabi,Patna,G8 76,21:40,12:30,13:20,Via DEL,Daily,G8 143,02/03/2023,02/14/2023
Abu Dhabi,Pune,G8 76,21:40,11:45,12:35,Via DEL,"M,Tu,W,Th,Sa,Su",G8 173,02/03/2023,02/14/2023
Abu Dhabi,Ranchi,G8 76,21:40,16:45,17:35,Via DEL,Daily,G8 237,02/03/2023,02/04/2023
Abu Dhabi,Ranchi,G8 6,23:30,19:25,18:25,Via BOM,Daily,G8 387,02/03/2023,02/05/2023
Abu Dhabi,Ranchi,G8 76,21:40,14:40,15:30,Via DEL,Daily,G8 237,02/03/2023,02/14/2023
Abu Dhabi,Srinagar,G8 6,23:30,13:30,12:30,Via BOM,Sa,G8 287,02/04/2023,02/04/2023
Abu Dhabi,Srinagar,G8 76,21:40,08:25,09:15,Via DEL,Sa,G8 259,02/03/2023,02/04/2023
Abu Dhabi,Srinagar,G8 76,21:40,17:00,17:50,Via DEL,Su,G8 267,02/04/2023,02/05/2023
Abu Dhabi,Srinagar,G8 76,21:40,13:20,14:10,Via DEL,Tu,G8 213,02/03/2023,02/06/2023
Abu Dhabi,Srinagar,G8 76,21:40,08:25,09:15,Via DEL,"M,Th",G8 259,02/03/2023,02/09/2023
Abu Dhabi,Srinagar,G8 76,21:40,15:25,16:15,Via DEL,"M,Tu,W,Th,F,Su",G8 199,02/03/2023,02/10/2023
Abu Dhabi,Srinagar,G8 76,21:40,13:20,14:10,Via DEL,"M,W,Th,F,Sa,Su",G8 213,02/03/2023,02/14/2023
Abu Dhabi,Srinagar,G8 76,21:40,08:25,09:15,Via DEL,"Tu,F",G8 259,02/03/2023,02/14/2023
Abu Dhabi,Srinagar,G8 76,21:40,12:30,13:20,Via DEL,"M,W,Th,Sa",G8 6201,02/03/2023,03/23/2023
Abu Dhabi,Varanasi,G8 6,23:30,13:20,12:20,Via BOM,Daily,G8 349,02/03/2023,02/05/2023
